gio_hoc_moi_tuan,diem_dau_vao,diem_trung_binh_truoc,tham_gia_ngoai_khoa,gio_giai_tri,lam_them,khoang_cach_den_truong,gpa
6,7.52,6.95,0,19,1,3,5.0
31,7.23,5.67,0,0,1,9,5.0
8,6.39,7.27,1,18,0,13,5.0
20,10.0,9.24,1,20,1,3,5.58
35,6.21,7.73,1,18,0,20,5.28
25,6.99,6.3,0,22,1,1,5.0
14,8.0,7.39,1,16,0,2,5.0
17,8.22,6.81,0,26,1,35,5.0
31,8.65,6.63,1,10,1,1,6.08
17,9.67,8.8,1,29,1,21,6.03
27,8.11,6.07,0,32,1,12,5.0
25,6.23,5.83,0,12,0,1,5.16
18,7.19,5.9,0,12,1,6,5.0
46,7.87,5.86,1,23,0,7,5.0
31,9.98,8.05,1,10,0,26,6.14
4,5.82,7.87,1,16,1,5,5.0
26,8.94,7.39,1,28,1,5,6.12
18,7.72,5.81,1,25,0,1,5.0
33,8.51,8.33,0,35,0,10,5.39
17,7.38,8.88,1,21,0,2,5.61
23,6.49,6.17,1,15,0,1,5.0
30,8.4,6.92,1,20,0,50,5.04
33,8.29,7.93,1,18,0,3,5.34
12,8.67,9.2,0,18,0,1,5.02
21,7.48,6.6,1,19,1,12,5.52
20,6.78,5.53,1,12,1,17,5.0
18,5.63,7.25,1,22,0,1,5.13
42,8.48,8.28,0,8,1,1,5.77
29,8.01,7.31,0,14,1,1,5.53
12,6.34,6.22,0,19,0,1,5.0
34,6.85,8.0,1,1,0,10,5.89
46,6.94,7.54,1,26,0,8,5.95
35,5.72,5.81,0,3,0,10,5.0
9,6.52,6.91,0,25,0,7,5.0
20,6.14,5.34,0,9,0,17,5.0
37,7.01,7.72,0,16,0,7,5.48
17,6.61,6.61,1,24,1,25,5.0
29,5.55,6.11,0,37,0,6,5.0
32,9.93,7.84,0,20,1,15,5.76
15,9.0,7.64,0,4,0,5,5.0
24,6.57,7.81,1,27,1,5,5.01
0,7.83,7.87,1,18,0,18,5.0
14,8.0,7.14,1,20,1,1,5.0
22,8.93,8.38,1,24,1,8,5.0
12,6.52,7.28,1,2,1,12,5.17
41,8.81,7.1,0,20,1,13,5.01
10,6.84,6.82,1,16,0,8,5.0
20,5.9,6.51,1,29,1,5,5.0
26,8.37,7.94,1,25,0,3,5.25
39,9.05,7.23,1,6,0,24,6.65
10,10.0,7.49,0,30,0,4,5.28
36,6.06,8.79,1,23,0,16,5.27
25,8.34,8.39,1,7,1,1,5.75
15,7.01,6.2,0,20,1,2,5.0
29,8.44,8.03,0,28,0,4,5.51
26,5.74,6.74,1,10,1,11,5.0
18,5.98,7.11,0,31,0,3,5.0
25,6.57,7.01,0,7,0,1,5.0
21,7.59,8.43,0,13,0,1,5.46
26,6.73,7.28,1,12,1,2,5.0
31,8.29,7.32,0,31,0,1,5.02
40,8.73,8.61,1,16,0,2,6.2
12,8.22,7.61,1,10,0,14,5.36
46,9.44,7.86,1,23,0,5,6.75
5,8.0,7.63,1,25,1,5,5.0
23,6.04,6.61,0,25,0,33,5.0
30,9.14,7.65,1,17,0,5,5.55
27,6.77,6.32,1,22,0,26,5.0
18,8.59,6.69,1,14,0,3,5.0
22,9.39,6.67,1,33,0,5,6.08
20,8.05,5.91,0,29,0,5,5.0
19,5.7,5.69,1,28,1,7,5.0
33,6.4,6.64,0,26,0,8,5.0
28,9.09,7.73,0,24,0,2,5.62
18,7.3,6.8,0,10,0,15,5.0
33,7.6,5.78,0,25,0,6,5.0
28,8.41,9.08,1,20,0,1,6.11
33,8.34,8.54,0,30,0,8,6.2
31,7.83,7.72,0,26,0,15,5.18
16,7.25,9.08,0,24,1,2,5.0
19,7.12,6.01,0,6,0,1,5.12
32,8.53,9.44,0,19,1,16,5.6
31,8.16,6.34,0,15,0,37,5.0
24,7.19,7.31,0,22,0,1,5.0
26,8.8,6.2,1,16,1,27,5.0
37,7.35,7.12,1,17,0,4,5.73
19,6.48,7.25,1,23,0,28,5.0
30,6.59,6.71,1,16,1,10,5.0
22,6.33,7.55,0,20,1,22,5.0
22,7.17,7.16,0,7,1,15,5.0
35,8.98,7.05,0,13,1,1,5.26
33,6.53,6.27,0,25,1,1,5.0
33,7.73,8.07,1,10,0,7,6.53
38,6.71,6.23,0,29,0,1,5.0
25,7.19,8.02,1,27,0,6,5.35
31,5.69,7.89,1,17,0,30,5.48
21,7.24,5.67,1,43,0,3,5.0
28,7.27,8.27,0,29,1,6,5.0
23,8.15,9.44,1,12,0,4,6.0
25,7.77,7.49,0,25,1,9,5.0
30,6.06,7.35,1,20,0,2,5.0
16,8.8,8.63,1,13,0,3,5.23
45,7.75,6.94,1,11,0,19,5.29
14,7.74,7.41,1,27,0,16,5.16
12,7.49,5.77,0,15,0,15,5.0
36,6.88,7.11,1,19,1,14,5.0
32,7.76,7.75,0,12,0,6,5.08
31,8.07,7.86,0,14,0,13,5.36
31,5.4,7.64,0,18,1,4,5.0
24,6.85,6.14,1,23,0,1,5.0
16,7.19,6.5,0,0,0,4,5.0
25,7.81,9.23,1,20,0,1,6.87
18,8.93,7.42,1,14,0,4,5.0
34,6.57,7.08,1,31,1,3,5.29
23,6.9,6.9,0,43,1,9,5.0
16,6.88,6.1,1,17,1,4,5.0
21,6.54,8.57,1,6,0,12,5.0
29,7.08,6.47,1,20,1,7,5.0
19,8.42,6.24,1,18,0,25,5.0
16,6.24,6.3,1,35,0,1,5.0
27,8.01,5.9,0,33,0,11,5.0
27,5.46,5.85,1,26,1,11,5.0
19,6.83,5.93,0,15,1,30,5.0
20,7.1,7.68,0,25,1,4,5.0
27,9.51,7.05,0,22,1,3,5.4
10,7.17,7.98,1,21,0,1,5.0
10,5.0,7.87,0,7,0,3,5.0
17,5.1,7.25,1,28,1,6,5.0
22,7.54,6.94,1,20,1,18,5.33
28,8.24,7.52,0,19,1,3,5.27
39,7.95,5.89,0,15,0,1,5.62
33,7.7,7.07,0,13,1,3,6.07
23,8.89,6.66,0,22,0,1,6.08
24,6.85,7.68,1,6,1,26,5.0
14,8.57,9.57,0,26,0,20,5.13
24,5.54,7.09,1,11,1,3,5.0
22,6.41,5.42,1,3,0,2,5.0
28,5.33,6.12,0,34,1,23,5.0
16,7.17,7.18,0,13,0,1,5.0
30,7.44,7.23,1,14,0,9,5.0
40,7.64,6.42,1,29,0,24,5.0
23,7.57,7.43,1,34,1,7,5.0
29,6.39,5.51,1,7,0,1,5.0
31,7.27,6.09,0,12,0,2,5.0
20,5.7,7.29,0,12,1,25,5.0
27,9.14,6.57,0,27,1,1,5.0
25,7.14,7.61,0,33,0,5,5.0
25,6.91,5.57,1,11,0,15,5.0
17,9.41,9.58,1,31,0,18,6.19
25,6.01,5.89,1,14,1,6,5.0
29,6.15,6.51,0,22,1,2,5.0
39,6.18,7.1,0,9,1,9,5.34
34,7.42,6.53,0,19,0,3,5.08
46,8.02,7.46,1,19,1,2,5.91
17,8.39,8.02,1,17,0,16,5.4
33,10.0,8.91,0,23,0,1,6.36
26,5.0,7.23,1,11,1,1,5.0
46,8.23,7.19,0,12,0,4,6.29
16,6.83,6.8,1,23,0,6,5.0
16,6.8,9.04,1,30,1,12,5.0
19,6.76,7.92,0,19,0,15,5.38
3,6.41,5.85,1,24,0,10,5.0
19,9.52,7.86,0,26,1,9,5.31
17,8.51,7.1,0,26,1,10,5.17
26,7.53,7.02,1,12,1,3,5.14
28,9.12,6.35,0,13,0,4,5.75
43,5.68,6.17,1,14,0,9,5.0
34,5.9,8.57,1,35,0,1,6.04
19,5.0,7.01,0,24,1,3,5.0
16,6.66,5.5,1,23,0,5,5.0
29,7.69,8.49,1,22,1,7,5.0
11,7.62,8.33,0,9,0,6,5.0
43,7.68,6.83,1,35,0,12,5.53
36,5.81,7.4,0,23,1,6,5.0
20,8.46,6.54,0,25,1,23,5.0
7,7.79,6.74,1,5,1,4,5.0
38,8.38,8.99,1,26,1,7,5.71
23,5.23,6.18,1,17,1,1,5.0
37,7.87,5.86,1,9,1,3,5.19
9,6.07,6.66,0,12,1,20,5.0
19,7.02,6.92,0,9,1,4,5.09
25,8.14,8.6,1,9,1,2,5.69
25,7.61,7.2,0,20,0,7,5.26
20,6.48,6.4,0,16,0,1,5.0
31,7.51,8.25,1,22,0,7,5.39
14,5.66,6.73,0,33,0,3,5.0
23,8.88,6.78,0,18,0,4,5.59
26,7.25,8.29,1,2,0,15,5.16
30,8.84,7.76,1,18,1,10,5.52
32,6.87,6.96,0,29,1,5,5.0
13,6.87,7.15,1,19,0,8,5.0
9,6.58,5.75,1,32,0,14,5.0
37,8.55,6.91,0,23,1,13,5.32
28,6.65,6.9,0,5,1,2,5.0
17,8.27,7.18,1,20,1,3,5.37
40,7.04,8.35,1,22,1,4,5.98
26,5.13,6.67,1,28,1,2,5.0
36,6.82,7.84,1,34,0,1,5.0
25,6.09,6.74,1,27,0,1,5.0
45,7.54,8.27,1,23,1,16,5.9
42,6.07,7.14,1,25,0,7,5.0
22,8.61,7.5,1,18,1,4,5.36
34,7.39,7.1,1,8,0,9,5.34
31,7.29,6.08,1,20,1,13,5.0
38,8.29,7.92,1,22,0,4,5.37
15,8.66,7.45,1,10,0,6,5.0
31,7.48,6.62,0,30,0,1,5.0
35,6.57,8.03,1,28,1,9,5.72
7,5.37,5.2,0,9,0,4,5.0
13,6.68,6.46,0,30,1,5,5.0
4,6.76,8.01,1,17,1,5,5.0
22,7.63,7.52,0,13,1,10,5.0
32,7.09,6.98,1,28,1,8,5.0
40,8.33,7.66,1,19,1,5,6.05
25,6.76,7.12,1,35,0,1,5.0
41,7.43,5.73,1,13,0,9,5.0
11,8.92,7.21,1,6,1,21,5.0
7,7.91,8.97,1,17,1,14,6.05
24,7.43,6.44,0,26,0,39,5.0
28,6.78,6.6,0,12,1,1,5.0
24,6.74,6.35,1,9,0,2,5.0
4,6.48,6.75,1,21,0,7,5.0
24,6.85,6.34,1,8,0,2,5.0
11,8.41,7.93,1,22,0,1,5.0
31,7.23,7.28,0,17,0,5,5.0
28,5.88,7.48,1,23,0,3,5.06
15,9.62,6.68,1,8,0,3,5.85
19,7.88,6.91,0,30,0,30,5.0
14,5.81,6.41,0,18,0,2,5.0
24,6.97,7.47,1,26,0,1,5.0
34,7.63,6.36,1,27,0,1,5.0
15,9.55,8.73,1,10,0,16,5.1
30,6.17,8.0,1,27,0,12,5.14
19,8.67,6.46,1,8,0,1,5.23
17,9.18,7.14,1,9,1,2,5.15
23,6.75,6.37,0,35,0,13,5.0
14,7.17,9.15,1,28,0,3,5.82
19,6.26,6.33,1,36,0,39,5.0
13,7.26,8.84,1,17,0,7,5.8
44,7.46,5.81,1,20,1,2,5.0
25,8.29,6.35,0,24,0,19,5.0
18,8.81,6.82,1,19,0,3,5.59
27,6.6,5.99,1,14,0,3,5.0
23,5.14,6.16,1,12,0,3,5.0
22,7.47,6.4,1,21,0,14,5.0
31,7.85,6.4,1,11,1,1,5.08
32,7.8,8.46,1,11,0,4,6.31
19,7.11,8.32,1,23,0,1,5.15
19,7.65,8.19,1,19,1,17,5.48
22,9.32,8.25,1,27,1,4,5.88
1,7.96,7.38,0,16,1,2,5.0
9,7.05,6.49,0,15,0,8,5.0
38,6.9,5.97,0,23,0,12,5.0
41,7.3,7.47,0,13,0,16,5.0
22,9.46,6.51,1,14,1,4,5.02
30,7.28,6.04,0,15,0,16,5.24
28,7.48,8.35,1,18,0,6,5.6
55,6.92,8.97,1,34,1,1,5.99
36,8.82,7.96,1,8,1,18,6.73
23,9.85,9.02,1,30,0,7,5.81
15,8.04,7.05,0,25,1,9,5.0
8,7.6,5.78,1,32,1,27,5.0
27,7.54,7.81,1,45,0,8,5.44
17,5.0,7.0,1,31,1,1,5.0
10,8.39,7.49,1,27,0,20,5.19
18,7.66,6.94,1,9,1,3,5.0
14,8.01,8.31,1,10,1,6,5.0
41,6.65,5.86,1,22,0,2,5.0
33,7.04,6.2,0,6,0,3,5.0
24,7.01,5.94,1,24,1,11,5.0
39,8.73,7.61,1,2,0,5,5.95
25,7.05,5.87,0,29,0,9,5.0
16,10.0,7.18,0,17,0,17,5.35
40,8.02,6.56,1,21,1,4,5.0
30,5.97,6.42,1,14,1,8,5.0
14,7.35,5.7,0,4,0,15,5.0
23,6.72,7.01,1,29,1,12,5.0
16,5.0,7.71,1,30,0,7,5.0
11,9.42,7.87,1,17,1,4,5.49
34,8.34,9.02,0,25,0,5,6.07
44,8.14,8.74,0,16,0,5,6.68
11,7.7,8.03,0,22,0,4,5.02
30,5.84,6.73,1,26,0,12,5.0
18,6.92,7.0,1,24,0,1,5.0
20,8.51,8.26,1,30,1,34,5.26
19,6.24,6.36,0,24,0,15,5.0
16,5.0,5.0,0,20,1,3,5.0
25,7.23,7.58,1,13,1,1,5.0
16,7.33,5.91,0,16,1,12,5.0
27,7.66,6.19,1,26,0,13,5.0
24,8.37,7.41,1,7,1,33,5.0
22,8.27,7.28,0,28,1,2,5.0
15,7.81,5.84,1,17,1,1,5.0
19,8.93,7.75,1,13,1,24,5.11
32,5.68,7.62,1,11,0,2,5.3
30,8.11,6.15,0,25,0,12,5.09
15,8.25,8.71,0,19,1,1,5.62
25,6.01,5.3,0,32,1,14,5.0
32,5.7,8.71,0,9,0,1,5.0
8,6.6,6.45,1,15,0,11,5.0
30,6.71,7.06,1,19,1,7,5.23
18,8.4,6.02,0,13,0,31,5.0
30,6.76,6.86,1,20,0,1,5.0
17,6.47,7.08,0,22,0,3,5.27
6,6.77,6.84,0,23,0,1,5.0
8,8.84,6.96,0,32,0,21,5.0
25,7.52,6.16,1,9,1,9,5.33
27,7.28,8.27,1,22,1,7,5.41
15,7.37,7.14,0,14,1,1,5.0
31,9.05,9.23,0,23,1,6,5.81
8,6.6,6.33,0,23,0,5,5.0
24,9.08,7.17,1,12,1,3,5.87
12,7.75,8.08,1,12,1,14,5.0
18,7.31,5.69,0,24,1,1,5.0
25,10.0,6.63,0,20,1,10,5.4
16,6.23,7.92,0,18,0,17,5.0
21,7.08,5.79,1,25,0,23,5.05
35,6.02,5.31,0,25,0,13,5.0
19,8.64,9.45,1,15,1,3,5.9
33,9.53,6.36,0,13,0,9,5.91
13,9.5,7.94,1,9,1,1,5.57
30,8.97,7.66,1,20,0,1,5.73
39,7.26,5.68,0,8,1,10,5.08
0,7.06,6.74,1,20,0,19,5.0
17,5.49,7.02,1,29,0,1,5.0
30,9.94,8.25,1,17,0,1,5.78
22,8.06,8.27,0,15,1,8,5.0
28,6.91,6.57,1,35,0,2,5.0
18,9.09,8.38,1,32,1,9,5.0
25,6.33,6.08,0,13,0,2,5.0
23,7.99,5.9,1,21,1,1,5.0
36,7.29,5.73,1,22,0,7,5.0
27,8.27,5.98,1,21,1,19,5.0
28,7.42,8.19,0,34,0,11,5.21
20,5.76,5.23,1,20,1,17,5.0
20,7.59,7.46,0,21,0,3,5.01
20,8.76,7.25,1,25,1,21,5.0
28,7.46,7.03,0,29,1,4,5.55
20,8.43,8.86,0,27,0,19,5.66
27,6.25,6.31,1,24,0,6,5.0
45,7.47,7.78,1,7,1,3,6.35
33,6.75,6.96,0,16,1,3,5.14
21,8.4,7.26,1,26,0,8,6.0
37,7.54,9.26,0,22,0,1,6.12
20,8.33,6.0,1,26,0,26,5.0
4,8.81,8.9,0,35,0,3,5.0
14,8.33,8.09,1,10,0,4,5.28
6,7.83,6.74,0,29,1,2,5.0
21,6.3,8.5,1,17,0,1,5.46
25,7.5,5.75,1,27,0,11,5.0
41,6.86,6.41,1,19,1,8,5.08
28,7.09,5.76,1,37,0,16,5.0
22,7.05,7.45,1,21,1,1,5.0
33,6.32,5.63,1,14,1,26,5.0
2,5.15,6.9,0,23,0,4,5.0
27,6.7,6.71,1,22,0,24,5.0
32,7.73,6.72,0,29,1,1,5.0
10,5.88,7.07,1,23,1,13,5.0
36,7.52,6.87,1,39,0,8,5.72
28,9.78,6.69,1,19,0,4,6.2
20,8.73,9.62,0,19,0,1,6.2
31,9.47,7.23,0,15,0,9,5.98
47,7.97,5.89,1,20,0,1,5.14
26,8.9,6.69,0,21,1,6,5.0
27,6.63,5.56,1,22,1,9,5.0
20,6.73,7.79,1,20,0,13,5.1
16,5.0,6.74,1,15,1,47,5.0
33,8.92,8.0,1,12,0,3,5.98
16,9.35,7.32,1,16,0,3,5.85
25,6.84,6.66,0,29,0,4,5.0
20,7.2,6.67,1,30,0,13,5.0
29,6.6,6.79,0,19,0,26,5.0
28,7.96,8.16,1,12,1,36,5.32
35,8.85,7.91,1,19,0,29,6.16
19,5.41,7.05,0,36,1,21,5.0
22,7.99,7.82,0,27,0,47,5.0
15,7.17,7.98,0,24,0,4,5.0
20,7.64,7.49,1,27,0,29,5.41
28,8.05,7.69,0,32,1,14,5.0
32,7.27,8.33,0,10,0,1,5.77
15,7.38,6.41,1,16,1,1,5.0
33,7.24,6.17,1,15,1,2,6.04
38,8.66,6.25,1,24,1,15,5.45
29,8.0,7.49,1,21,0,9,5.0
43,7.76,5.83,1,26,1,2,5.57
17,5.97,7.18,0,15,0,13,5.0
12,7.05,6.9,1,30,1,1,5.0
7,8.58,8.66,0,19,0,17,5.0
39,7.55,6.46,0,25,0,15,5.12
31,8.29,7.17,1,29,0,35,5.33
24,9.62,8.96,1,28,0,1,5.93
27,8.75,8.98,1,22,0,23,5.79
13,7.61,6.47,0,26,1,4,5.0
49,6.89,7.16,0,33,1,5,5.0
26,5.0,6.71,1,24,0,6,5.0
26,7.3,7.48,0,14,0,9,5.73
32,7.11,6.76,1,24,0,50,5.0
29,7.97,8.64,0,19,0,9,5.48
27,7.32,5.69,1,1,1,26,5.0
17,7.12,6.59,1,23,1,2,5.0
29,5.36,6.98,1,20,0,5,5.01
43,6.37,7.29,1,29,0,7,6.37
38,8.07,8.74,1,13,1,3,6.91
40,9.56,9.03,0,7,1,37,6.05
19,7.38,6.82,1,21,0,12,5.0
15,7.89,8.63,0,23,0,6,5.0
23,8.64,6.74,1,20,0,13,5.0
25,6.53,7.84,0,20,0,6,5.0
