gio_hoc_moi_tuan,diem_dau_vao,diem_trung_binh_truoc,tham_gia_ngoai_khoa,gio_giai_tri,lam_them,khoang_cach_den_truong,chat_luong_giac_ngu,so_lan_vang_mat,gpa
10,1.0,1.62,0,0,0,21,7.57,7,2.64
41,9.9,6.14,1,57,0,8,6.69,4,5.17
18,6.56,5.45,0,13,0,6,4.13,10,3.69
11,8.96,7.8,1,53,1,4,2.46,4,2.85
5,7.77,6.77,1,15,0,19,1.97,10,2.98
24,9.98,10.0,1,46,0,7,3.63,4,1.97
25,1.0,3.69,1,43,1,16,3.18,5,2.03
12,1.0,1.67,1,6,0,4,8.35,4,5.2
31,1.0,1.4,1,7,0,8,4.36,5,1.43
29,9.37,10.0,1,11,0,12,6.59,7,2.51
0,4.14,5.54,1,2,0,22,4.61,6,2.01
20,1.26,3.34,1,13,0,3,3.26,4,1.67
7,7.06,6.31,1,41,0,8,5.76,5,1.78
51,4.83,5.17,1,13,1,16,2.88,4,1.46
10,1.45,1.39,1,10,1,19,9.02,4,2.11
30,4.23,4.7,0,18,0,6,3.1,6,2.27
35,7.13,6.35,1,8,1,25,9.64,6,5.86
10,9.11,6.56,0,5,0,9,8.94,2,4.5
9,2.18,2.77,1,13,0,5,6.83,2,2.91
39,4.99,6.51,0,33,1,3,5.97,4,0.46
40,1.0,2.47,1,21,0,21,6.63,2,2.55
51,1.08,4.72,1,53,1,31,4.25,2,2.95
39,7.97,5.04,0,28,0,16,5.49,4,3.36
9,9.68,7.29,0,18,0,43,6.07,3,4.94
40,5.06,3.49,1,11,1,8,4.28,9,9.81
2,1.0,1.39,1,15,0,14,4.71,5,0.53
26,8.34,6.17,1,10,0,12,6.07,7,5.66
30,5.82,5.8,1,21,0,1,3.65,6,3.45
20,8.76,7.53,1,2,0,2,6.64,5,4.8
8,9.99,7.32,0,19,1,7,4.29,6,4.67
19,9.06,5.21,0,17,1,29,5.42,5,6.82
23,3.62,5.65,1,19,1,9,3.96,4,4.06
60,1.0,2.31,0,23,0,36,8.61,4,3.26
30,3.93,3.24,1,18,0,7,2.48,4,4.5
53,9.93,8.23,1,21,1,40,1.86,4,4.3
15,9.81,8.09,1,41,0,5,7.29,10,4.52
4,1.76,2.73,0,4,0,4,7.62,4,1.31
16,4.13,4.63,0,16,1,20,6.34,3,2.51
36,9.79,6.72,0,17,0,1,4.44,4,2.6
31,7.39,7.19,1,45,1,3,4.11,7,4.42
50,5.31,4.19,1,23,0,19,4.29,4,4.27
23,1.0,1.99,1,14,1,41,7.0,5,1.78
24,5.36,5.86,0,4,0,29,6.46,5,2.87
20,1.0,3.8,1,16,1,15,2.79,4,2.65
11,7.27,7.95,1,23,0,17,5.84,9,3.66
13,8.02,7.87,1,36,1,11,2.39,3,2.29
1,9.04,7.1,0,31,0,4,3.27,4,3.87
27,1.0,1.06,0,5,1,13,1.83,7,1.39
31,1.0,4.01,1,25,1,6,7.72,6,1.15
22,2.79,5.05,0,1,0,19,2.8,1,2.73
52,1.0,1.93,1,40,0,33,2.09,2,2.12
24,9.64,8.7,1,44,1,4,3.16,4,5.61
24,1.59,2.62,1,14,0,1,10.0,1,2.4
48,4.81,6.39,1,5,1,51,3.74,7,4.56
6,9.89,7.42,1,48,0,30,3.54,3,1.66
10,5.66,7.38,1,4,1,1,6.99,7,3.53
12,9.39,8.42,1,15,0,24,4.71,4,2.98
10,1.0,4.4,1,54,1,12,6.38,9,1.92
34,1.75,2.59,1,14,0,34,3.11,6,0.83
47,1.86,3.52,0,5,0,19,3.43,4,2.99
35,8.16,5.92,1,2,0,22,7.92,4,6.63
49,1.0,3.44,0,32,1,24,8.26,4,2.72
54,9.35,8.51,1,7,0,1,7.66,13,5.71
8,1.0,5.0,1,18,0,21,5.11,4,2.22
52,1.0,3.08,1,43,1,33,4.86,4,1.74
26,9.87,8.64,1,21,0,14,4.01,0,4.81
35,9.77,7.39,0,22,1,4,5.03,8,6.36
48,8.02,7.35,1,2,1,11,5.49,7,5.58
18,6.3,5.4,1,10,0,10,6.67,7,4.85
6,7.24,6.46,1,29,0,15,5.07,4,2.89
10,7.1,6.44,1,23,1,38,2.67,3,3.85
27,4.02,4.06,0,41,0,10,4.11,5,2.39
33,4.13,4.54,0,8,1,6,1.58,2,3.21
55,4.92,4.58,1,5,0,28,8.52,6,3.52
12,5.91,5.17,1,16,0,7,1.32,8,2.49
20,2.63,4.66,1,19,0,13,7.95,7,2.53
14,8.79,7.45,0,16,1,29,5.15,6,5.19
9,4.33,4.95,1,35,1,8,5.72,4,4.48
7,1.0,1.14,1,13,0,24,5.72,7,2.29
25,2.77,4.08,0,15,1,11,3.93,3,3.83
41,1.52,3.44,1,24,0,3,2.15,3,3.81
10,6.08,5.25,1,21,1,19,5.73,4,1.27
22,8.29,9.06,1,17,1,16,6.34,7,6.66
41,9.99,5.71,1,14,1,16,4.17,8,5.79
29,8.45,7.85,1,3,0,3,0.77,7,5.53
38,1.0,3.31,0,11,0,17,4.44,4,3.44
61,1.0,3.14,0,20,1,18,3.61,5,4.52
0,2.01,3.38,1,24,0,35,1.31,10,0.05
34,8.57,7.69,1,31,0,17,3.94,4,6.06
23,3.25,4.82,1,14,1,7,10.0,7,3.69
14,7.74,5.92,1,24,1,26,9.26,7,3.13
10,1.0,2.9,0,34,0,40,5.13,5,0.0
32,2.02,3.03,0,14,0,21,8.98,2,4.81
22,1.94,2.07,0,14,0,12,4.19,6,1.27
4,3.78,4.99,0,5,1,3,6.19,2,1.6
17,9.9,7.38,1,15,1,11,2.27,4,6.93
43,1.0,1.1,1,35,1,26,5.84,6,1.58
11,1.0,2.06,0,17,1,10,5.58,7,0.83
16,1.0,1.8,1,16,1,3,2.03,6,1.39
17,2.82,4.72,0,15,0,20,6.5,7,2.86
50,9.82,8.04,1,0,0,13,4.21,6,7.26
7,7.4,7.82,0,20,1,8,2.33,4,2.74
24,2.08,2.58,0,20,0,6,3.05,4,1.79
45,1.0,3.47,0,16,1,9,3.67,4,3.35
2,3.97,7.22,1,42,1,5,3.02,6,1.49
37,1.0,2.96,0,26,0,16,7.21,6,2.35
34,4.27,5.42,1,20,0,6,4.33,3,4.2
31,6.58,6.64,1,26,0,1,3.81,3,4.69
24,1.0,1.18,0,57,1,23,3.79,4,2.15
26,5.99,6.18,1,32,1,18,5.09,3,3.17
8,9.2,7.83,1,1,0,11,5.29,7,4.39
58,2.94,3.51,1,14,1,4,8.17,6,3.39
23,2.87,2.84,1,17,1,35,7.96,4,2.08
11,4.83,5.59,1,5,0,24,3.78,1,0.92
15,8.56,6.16,1,9,0,3,4.17,7,3.23
19,3.51,6.24,1,6,0,16,5.06,2,3.11
35,9.61,7.88,0,30,0,8,4.41,6,3.66
2,1.0,1.38,0,16,0,6,5.27,6,0.05
36,8.2,6.41,0,19,0,30,2.98,9,3.88
8,9.21,7.25,1,12,1,26,4.58,3,3.32
23,3.82,6.7,1,20,0,6,5.7,10,3.05
0,9.75,6.96,0,14,0,11,4.11,2,4.93
21,8.38,6.91,0,11,0,9,5.58,4,3.86
17,3.17,3.36,1,2,1,7,4.95,8,1.13
38,9.6,8.26,1,22,1,15,4.35,5,5.0
9,1.76,2.53,1,22,1,4,6.56,8,1.73
31,1.0,1.46,0,20,1,4,4.68,6,2.61
11,5.4,5.04,1,24,0,10,5.99,9,2.21
48,1.0,2.3,0,24,0,9,2.73,8,1.49
34,2.17,2.71,0,21,1,2,8.95,1,1.85
5,3.1,3.32,1,20,0,26,3.25,4,1.18
37,10.0,9.18,1,5,1,51,5.43,3,4.4
37,2.25,3.03,1,19,0,31,2.4,7,1.09
36,1.82,1.96,0,22,1,3,5.01,4,0.0
23,1.01,2.15,0,49,0,29,2.92,4,0.81
10,1.92,3.21,1,43,0,4,5.71,6,0.86
15,9.95,6.63,0,1,0,18,5.52,3,3.93
57,1.0,4.23,0,9,1,9,6.94,6,3.55
43,5.9,6.41,0,17,0,21,5.15,7,3.56
22,1.79,4.5,1,4,0,12,4.93,8,2.45
24,8.69,7.6,0,8,0,24,2.75,9,2.28
27,8.57,5.05,0,21,0,32,6.12,1,4.39
53,2.34,4.94,1,26,0,14,7.12,5,4.62
45,8.88,6.46,1,18,0,7,3.63,6,4.95
51,1.16,1.92,0,53,1,18,3.48,9,3.26
61,9.39,7.79,1,2,1,56,7.05,7,7.47
27,2.43,4.84,0,8,0,5,3.39,3,4.04
11,9.66,8.85,1,0,0,5,6.63,3,3.91
2,3.64,5.09,0,31,0,10,5.11,4,3.27
18,2.26,3.04,0,21,0,10,5.6,6,4.48
27,1.0,2.27,0,3,1,11,4.29,6,2.31
9,9.96,8.32,0,4,0,31,9.15,3,6.43
7,1.0,2.47,0,20,1,20,6.97,7,0.0
26,9.57,8.63,1,14,0,18,2.7,5,6.57
9,6.9,6.97,0,31,0,13,5.59,3,4.32
15,10.0,8.59,0,21,1,7,3.08,7,3.76
25,9.74,5.32,0,3,0,10,3.25,7,3.88
19,9.38,7.76,1,50,0,8,3.3,4,4.18
31,4.99,4.89,1,19,0,13,5.4,2,3.45
8,2.2,3.49,1,23,0,3,9.95,8,3.29
50,7.8,5.92,0,22,0,4,6.54,4,5.62
7,8.37,5.7,1,35,1,4,3.3,5,2.82
20,10.0,8.46,1,0,1,2,1.33,5,5.63
45,9.77,7.5,1,25,1,25,8.85,2,5.83
25,4.01,4.98,1,2,0,23,7.12,3,2.95
49,6.65,5.32,1,36,1,11,3.53,4,4.6
23,9.93,9.38,1,19,1,13,4.51,2,2.74
12,1.0,3.6,0,4,0,4,7.5,1,2.13
7,5.65,5.69,0,24,0,59,8.37,4,4.72
30,1.0,2.39,0,20,1,14,3.94,4,2.49
8,9.7,8.67,0,38,1,15,1.96,7,6.22
8,1.0,2.99,1,25,0,18,6.72,7,3.23
54,7.27,6.6,0,44,0,27,7.05,5,4.75
20,7.27,7.41,1,16,1,19,1.56,3,4.12
29,9.99,9.42,1,1,0,14,5.0,6,6.42
23,1.0,1.35,0,33,0,12,10.0,4,1.6
40,1.0,1.55,0,19,1,4,6.22,5,4.0
18,9.27,6.78,0,13,0,27,3.95,5,5.16
23,1.0,1.1,0,40,1,18,5.19,3,1.0
28,1.04,2.56,0,19,1,14,4.3,2,0.21
9,1.0,3.2,1,0,0,10,1.81,4,0.0
48,7.92,6.73,0,28,0,11,3.4,4,5.81
19,5.98,5.05,1,5,0,12,5.52,2,5.07
8,1.85,4.24,1,18,0,7,3.58,6,2.15
26,8.14,7.02,0,8,1,22,2.6,0,1.67
7,7.84,7.05,1,10,0,6,5.72,7,0.0
36,1.0,3.75,0,13,1,24,9.88,6,1.7
39,3.32,3.87,0,19,1,20,3.71,6,3.97
40,1.0,4.66,1,14,0,12,4.6,7,4.13
27,6.01,5.16,0,31,1,3,3.04,3,3.26
21,3.67,6.2,1,22,1,15,4.58,3,6.73
37,1.0,1.63,1,17,1,10,3.51,8,2.97
22,7.14,6.8,0,28,0,22,4.95,7,3.58
44,5.94,4.92,0,9,1,13,3.74,6,3.64
48,9.87,9.04,1,31,0,22,9.17,1,5.0
47,1.05,2.15,0,25,1,4,9.06,3,3.35
16,1.0,2.89,1,17,0,12,3.68,7,0.79
8,2.79,3.02,0,20,0,4,5.12,4,2.21
21,1.0,3.54,1,17,0,6,3.25,4,1.1
21,7.43,5.8,1,22,0,16,6.72,3,3.41
15,9.99,9.68,1,2,0,4,6.42,1,4.7
14,9.61,6.77,0,35,0,4,3.99,5,3.56
14,3.06,2.49,0,43,1,14,4.69,5,0.9
28,7.12,7.23,1,27,0,5,4.6,7,4.6
26,2.94,3.17,0,7,0,28,3.34,4,4.42
4,9.98,7.98,1,26,1,2,3.4,5,5.58
18,10.0,7.68,1,18,0,29,5.98,6,6.14
35,8.9,6.03,0,35,1,20,6.07,5,4.89
10,8.98,7.31,1,10,0,3,8.83,5,2.08
20,9.85,9.18,1,5,0,8,1.24,7,5.18
49,1.0,3.6,0,43,0,38,2.91,5,2.15
16,1.95,3.4,1,18,1,15,9.76,7,2.32
19,1.02,3.73,0,16,1,12,6.04,1,0.77
33,1.0,1.54,1,8,1,42,2.53,6,2.09
23,8.59,6.83,0,45,0,22,4.16,5,4.24
7,3.25,4.35,1,8,1,11,5.15,4,3.57
52,9.81,7.76,1,15,1,18,2.54,6,4.48
26,6.37,5.58,0,16,0,8,6.69,5,4.16
45,6.77,4.86,1,49,1,14,3.86,1,6.06
50,6.88,4.04,1,4,1,29,3.73,8,2.26
37,6.6,6.78,1,17,0,11,7.97,7,2.76
21,1.0,2.84,0,3,0,14,3.96,5,0.66
48,8.79,8.18,1,39,1,6,6.95,8,3.82
12,7.52,6.08,0,25,0,29,5.12,3,3.97
21,7.76,5.94,1,19,1,11,6.76,2,6.18
53,9.83,7.9,0,7,0,8,4.42,3,7.44
44,9.62,8.63,1,22,0,7,5.2,7,5.34
33,4.15,4.26,0,15,0,28,8.17,8,4.39
15,4.25,5.35,1,15,1,13,5.47,5,3.46
12,6.84,5.1,1,36,0,23,3.26,4,4.67
38,7.75,6.49,0,0,0,8,3.94,2,5.31
12,1.0,2.53,1,17,0,16,6.6,6,1.4
26,4.45,5.89,1,52,1,27,3.92,6,1.71
25,8.77,7.47,0,39,1,32,2.4,7,3.97
2,5.55,7.08,1,16,1,13,5.13,7,4.79
34,1.0,1.25,1,29,1,13,3.44,1,2.43
6,1.76,3.18,1,15,0,23,4.92,7,0.95
12,1.07,2.82,0,2,0,11,3.87,8,0.0
29,1.0,3.22,0,8,0,18,5.56,3,5.01
16,4.63,3.96,0,23,1,20,9.75,8,3.8
17,1.0,4.28,0,38,1,2,10.0,7,1.01
22,1.0,2.61,0,7,1,23,4.07,5,1.56
59,5.51,4.22,0,5,1,29,4.93,5,6.03
9,5.54,5.31,1,14,1,10,5.29,1,2.15
12,5.55,5.02,0,0,0,26,3.34,4,2.95
14,1.0,5.38,0,17,0,13,2.17,6,2.59
7,9.16,8.55,1,8,1,23,8.27,6,4.36
29,1.0,2.65,1,3,1,9,7.36,4,3.44
25,5.59,5.24,1,22,0,10,2.37,6,5.61
14,7.07,7.19,1,41,1,5,7.97,3,5.03
46,1.13,3.67,1,11,0,14,5.11,3,2.25
66,8.67,4.29,1,36,0,10,5.26,4,4.48
28,8.4,7.68,0,21,1,2,7.97,4,5.3
24,1.0,2.63,1,33,1,28,4.23,3,3.0
55,1.0,1.29,1,18,0,40,4.11,4,3.2
11,9.94,8.84,1,43,0,18,8.05,6,3.47
26,2.58,5.79,1,20,1,27,1.73,3,1.23
4,3.72,4.79,0,25,0,6,2.71,4,1.05
11,1.12,3.77,0,21,0,10,7.21,2,2.4
55,6.76,7.86,1,15,0,18,7.64,5,5.38
36,8.35,6.18,1,3,0,14,3.21,6,5.71
34,8.54,5.26,1,40,1,10,7.18,4,2.92
24,1.0,3.26,0,26,0,56,7.06,4,1.77
5,6.12,5.42,0,17,0,5,5.39,2,2.34
14,1.0,1.23,0,0,1,53,4.92,5,1.62
8,9.36,7.54,1,6,1,19,3.87,7,4.79
30,3.48,4.82,0,16,0,14,3.71,11,1.55
42,7.82,6.54,0,13,0,11,2.01,3,2.84
24,2.09,2.47,1,40,0,6,3.67,5,1.82
12,4.37,4.4,1,7,0,7,5.34,4,2.41
47,1.0,2.58,1,35,0,35,2.32,5,1.34
25,8.04,4.89,1,22,0,50,6.28,9,4.7
17,1.0,2.46,1,45,1,9,4.23,4,0.87
31,8.66,5.85,0,7,1,11,4.8,12,1.78
24,2.65,4.25,1,16,1,32,6.26,4,3.42
7,8.49,5.53,1,14,1,8,3.79,5,3.75
15,2.39,4.44,0,15,1,1,5.31,2,4.57
34,7.0,5.79,1,7,0,5,1.8,7,4.75
0,1.47,2.34,1,23,0,9,5.8,7,0.74
9,1.0,2.89,0,2,1,11,5.93,3,4.31
7,4.88,4.06,0,30,1,8,5.91,6,1.55
5,1.0,2.88,0,14,0,14,2.84,9,1.38
44,9.55,7.0,1,24,0,7,3.29,8,3.6
48,1.0,2.04,0,52,1,20,6.24,3,2.09
39,6.39,6.24,1,20,0,30,3.32,8,5.21
2,1.0,1.46,0,16,0,6,4.97,4,0.0
33,5.67,4.14,1,16,0,11,5.51,3,2.14
31,5.8,5.73,1,18,0,7,2.45,4,5.77
6,8.66,7.17,0,48,0,23,2.96,3,2.56
26,3.24,4.11,1,30,0,5,5.87,6,2.43
21,9.61,8.1,0,25,1,22,6.5,5,4.9
26,1.57,3.0,0,42,0,11,5.89,4,3.68
35,1.37,3.43,0,44,1,44,2.01,2,1.78
13,1.0,2.7,0,29,0,22,2.4,4,1.43
28,9.67,5.8,0,28,0,33,4.23,6,4.43
21,6.96,4.43,0,38,1,34,2.3,3,4.77
14,5.95,7.5,1,8,1,8,3.33,1,2.67
42,6.73,6.04,1,5,1,18,10.0,5,7.02
33,3.41,5.0,1,4,0,29,7.87,4,3.04
2,1.0,2.25,0,46,0,21,3.13,7,0.0
4,5.13,5.02,1,17,1,1,2.13,4,1.03
25,1.4,2.39,0,7,0,3,5.49,7,1.72
5,7.23,8.81,1,13,1,8,3.66,3,4.27
19,9.43,7.91,1,0,0,3,6.23,6,4.43
40,8.05,6.29,1,37,1,45,4.54,6,4.91
15,2.16,1.64,0,19,1,44,10.0,3,0.0
18,7.9,8.72,1,40,0,6,5.19,8,3.58
29,3.89,4.17,1,0,0,14,5.59,8,2.73
15,1.0,3.34,1,42,1,6,9.14,4,2.51
13,1.0,3.46,1,20,1,19,2.04,5,1.32
38,6.78,5.6,0,19,0,8,7.42,5,3.92
30,6.42,6.52,1,22,0,9,7.57,5,4.95
43,2.39,2.83,0,21,0,49,5.07,4,1.96
40,2.96,2.78,0,37,0,18,4.9,5,3.33
10,9.83,9.06,0,29,0,29,3.84,3,4.26
1,8.14,6.73,0,43,1,24,2.27,4,3.32
12,1.0,3.12,0,23,0,17,3.94,5,1.13
11,9.63,8.19,0,25,1,6,2.95,6,3.86
7,9.93,8.6,1,23,1,1,3.28,5,4.27
32,4.16,2.94,0,30,0,12,5.2,6,2.57
4,6.03,5.03,1,41,0,9,3.59,8,2.96
32,7.49,6.17,1,19,1,3,5.95,4,2.52
46,2.08,2.41,1,16,0,15,4.88,6,6.59
8,1.27,3.19,1,37,0,6,4.46,8,0.32
44,8.72,8.42,1,16,1,46,2.95,5,5.44
9,9.81,9.23,1,7,0,13,4.52,4,4.8
16,5.2,4.78,0,15,0,1,6.85,4,6.21
17,1.0,2.89,1,20,0,19,2.45,2,0.8
19,4.02,4.86,1,44,1,20,2.95,7,1.36
55,1.0,3.22,0,5,0,15,5.02,4,3.32
39,2.33,2.52,1,15,0,23,1.92,8,2.76
54,9.17,9.32,0,7,0,13,4.75,1,5.68
18,1.0,3.53,1,4,1,8,2.46,6,0.57
7,4.5,5.65,1,5,1,27,5.98,2,2.36
51,5.56,6.54,1,2,0,4,5.02,4,5.43
33,9.1,7.99,0,27,1,24,10.0,10,5.59
52,8.33,5.97,0,27,0,5,4.24,2,6.37
26,1.0,2.46,0,6,0,35,5.75,8,2.19
28,1.0,1.0,0,23,1,8,3.54,12,1.96
38,1.0,3.02,1,2,0,9,4.16,8,3.36
13,9.8,7.71,0,37,1,3,1.97,4,5.71
50,9.56,7.7,0,8,1,13,3.08,5,6.36
24,9.13,8.68,1,6,0,13,4.95,14,5.28
22,1.24,2.29,1,20,1,54,4.97,5,1.59
54,9.65,7.54,1,38,0,29,5.65,4,6.89
46,8.06,6.86,0,49,0,7,5.81,8,5.9
19,2.1,1.42,0,25,1,16,2.55,4,0.72
55,2.49,3.23,1,6,1,11,8.6,8,4.16
20,1.0,1.0,0,20,0,6,2.45,5,0.0
45,1.0,2.01,1,37,1,8,5.79,2,3.04
24,3.74,5.1,1,23,1,9,7.54,11,4.35
29,8.66,7.64,1,14,0,13,2.94,3,4.54
18,1.0,2.01,1,2,1,9,2.99,5,1.72
7,8.41,7.08,1,0,0,1,3.67,5,2.25
24,9.94,6.89,1,26,0,11,7.07,9,5.02
10,9.41,7.64,0,2,1,13,3.22,4,3.02
23,8.45,10.0,1,6,0,25,5.89,1,5.4
28,1.01,4.45,0,4,1,5,3.79,6,1.93
49,1.0,2.65,0,34,0,19,4.61,4,3.68
30,6.28,5.93,0,6,0,50,6.64,4,3.79
26,1.0,1.62,1,10,1,8,4.45,5,2.28
22,2.29,2.57,1,49,0,13,4.5,5,0.0
12,5.11,5.43,0,3,0,42,2.01,6,2.16
29,8.31,6.46,1,18,1,13,4.15,4,4.88
27,7.37,7.33,0,34,1,4,5.76,3,2.59
36,9.31,9.16,0,20,0,12,4.94,8,5.49
47,8.41,7.38,1,5,0,41,8.37,5,6.57
56,9.37,7.72,1,3,0,44,1.17,7,4.92
7,8.44,5.38,0,17,1,26,6.27,6,3.38
39,6.65,6.74,1,20,0,20,5.38,5,5.38
7,7.01,5.06,1,0,0,10,6.23,5,0.0
25,1.0,2.18,0,28,1,11,5.89,6,3.67
20,1.0,3.56,0,28,0,6,2.41,5,0.48
47,6.66,7.03,0,21,0,5,7.38,5,5.73
12,1.0,2.13,0,35,0,22,3.8,5,1.99
7,8.19,6.51,1,0,1,10,6.14,7,4.41
4,1.0,1.9,1,19,0,22,2.42,4,0.01
46,3.74,3.05,0,7,0,3,10.0,4,3.89
31,1.46,2.24,1,33,1,8,4.8,7,1.67
13,9.98,6.37,0,10,1,2,2.57,5,5.28
0,1.0,3.28,1,15,0,36,5.19,7,0.3
65,6.8,6.47,0,3,0,23,6.7,10,6.72
11,3.55,4.69,1,12,0,13,8.3,7,1.78
37,9.39,6.68,1,2,0,33,5.48,3,5.92
46,9.97,6.79,1,4,0,5,5.5,6,5.47
10,8.35,7.07,1,3,0,33,5.93,3,3.41
6,1.0,2.66,0,11,1,1,3.61,4,1.15
46,8.01,6.66,1,13,0,17,4.22,6,3.45
20,1.89,2.85,0,39,0,3,7.24,4,5.0
22,6.84,7.81,1,23,0,15,4.87,4,3.82
38,1.0,3.03,0,42,1,9,6.36,3,2.1
30,5.94,7.53,1,0,0,11,2.85,5,3.0
46,7.17,7.57,1,8,1,35,3.29,6,4.56
50,4.53,6.42,0,18,0,32,4.49,5,4.06
28,5.18,4.04,0,28,1,32,9.02,6,2.91
14,4.39,5.23,0,9,0,41,6.82,8,2.54
48,7.92,6.32,0,15,0,12,3.93,4,4.68
21,2.44,1.8,1,5,1,13,6.0,4,2.2
30,9.05,8.92,1,6,0,10,3.55,6,7.16
31,9.2,7.23,1,17,0,14,5.42,4,4.61
5,9.24,6.49,1,24,0,57,7.9,5,2.04
18,9.74,7.43,0,1,0,21,5.91,6,4.58
15,1.0,1.8,0,16,1,6,2.85,11,1.95
31,9.38,6.93,1,42,0,2,4.98,3,5.41
12,8.62,6.95,1,50,0,2,3.07,7,0.0
15,1.0,4.33,1,50,0,3,5.43,5,2.31
5,5.94,4.9,0,1,0,15,2.06,4,1.99
27,10.0,9.66,1,35,0,5,6.48,5,4.15
43,1.0,3.45,0,23,0,15,3.87,2,2.85
30,1.0,3.0,0,34,0,3,6.84,6,2.0
43,1.0,3.35,1,5,1,14,3.47,3,1.14
22,7.71,6.64,0,16,0,4,2.26,10,3.82
12,3.31,5.27,1,1,1,5,7.17,6,5.0
53,1.0,3.17,1,2,1,13,5.55,5,1.03
6,7.2,4.66,1,47,0,8,4.94,1,1.35
44,1.0,2.9,1,40,0,23,6.72,9,2.94
4,9.91,8.73,1,26,0,23,6.02,3,5.66
20,9.14,7.19,0,22,0,14,5.71,4,3.23
11,1.0,2.73,0,28,1,31,5.1,6,2.55
51,1.0,1.99,0,24,1,5,7.77,5,2.3
26,1.0,1.22,0,46,0,4,4.62,2,0.36
25,4.57,3.19,0,19,0,2,1.76,8,7.11
8,8.91,5.81,1,35,1,15,5.59,6,3.43
9,1.0,3.27,0,40,0,3,1.22,3,1.11
58,9.5,5.21,1,10,1,9,9.39,4,5.7
17,8.66,6.53,0,21,0,6,4.9,3,2.64
33,4.42,3.89,0,32,0,3,8.18,5,2.41
31,9.29,7.29,0,48,1,9,5.6,4,4.52
18,1.6,1.11,1,45,0,7,4.96,8,0.58
17,5.71,5.83,0,19,1,10,5.19,5,3.6
27,5.34,3.93,1,15,0,15,2.26,5,5.52
36,9.07,8.58,0,5,1,7,5.39,5,5.98
10,1.97,2.56,1,3,1,19,3.07,6,2.48
7,9.93,7.86,1,23,0,4,3.46,3,3.43
27,9.52,7.72,1,6,0,38,4.7,2,5.91
22,4.48,4.93,0,34,1,11,7.54,4,2.51
26,7.48,6.53,1,36,1,31,4.34,7,3.72
21,1.0,2.17,0,37,1,16,2.65,3,2.25
